SEARCH:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM NO.,CATEGORY,SECTION,LOCATION,CURRENT STATUS,PARTICULARS,SYSTEM,EQUIPMENT,RS NUMBER,DATE RS SENT,QUOTATION STATUS,BRF NO.,AMOUNT,DATE UPLOADED,BRF STATUS,DATE APPROVED,PR NO.,DATE SENT,PR STATUS,DATE APPROVED,DATE UPLOADED TO SHARE POINT,DATE OF TECHNICAL EVALUATION SENT,PO NO.,DATE APPROVED,PO/WO STATUS,SUPPLIER,DELIVERY STATUS,DATE UPLOADED TO SHAREPOINT (RFP),RELEASED DATE,
62,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Critical Safety spare parts for DPTPP Pressure gauges,Integrated System,Pressure Gauges,DPC-MAINT-RS-2025-IC-M017,"March 6, 2025",Pending,BRF-PAL-2025-01449,For final bidding,"June 24, 2025",APPROVED,,PR009232,"July 20, 2025",FOR APPROVAL,,,,,,,,,,,
63,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Spare parts for DPTPP Electrochlorination Instruments,Electrochlorination System,NaOCl Generator,DPC-MAINT-RS-2025-IC-M018,"March 12, 2025",Served,BRF-PAL-2025-01461,For final bidding,"July 1, 2025",APPROVED,,PR009233,"July 20, 2025",APPROVED,"Jul 23, 2025","Jul 23, 2025",,,,,,,,,
64,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,"Supply of Critical Spare parts fpr DPTPP IDF,SA, & PA Instruments",Boiler Combustion System,Major Fans,DPC-MAINT-RS-2025-IC-M019,"March 14, 2025",Served,BRF-PAL-2025-01509,For Final Bidding,"July 21, 2025",APPROVED,"August 13, 2025",PR009308,"August 13, 2025",APPROVED,"August 15, 2025","August 15, 2025",,,,,,,,,
65,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,DELIVERED,Supply of Critical spare parts for DPTPP Ultrasonic flowmeter (insertion type),Seawater Intake System,Cooling Pump,DPC-MAINT-RS-2025-IC-M020,"March 18, 2025",Pending,BRF-PAL-2025-01274,"₱ 488,536.49","March 25, 2025",APPROVED,"April 2, 2025",PR008968,"April 2, 2025",APPROVED,"April 3, 2025","April 3, 2025","April 23, 2025",PO-008274,,APPROVED,SMI,DELIVERED,,,
66,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,AWAITING QUOTATION,Supply of Critical Spare parts for DPTPP Magnetic flap level gauge,Integrated System,Tanks,DPC-MAINT-RS-2025-IC-M021,"March 28, 2025",,,,,,,,,,,,,,,,,,,,
67,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Critical Spare parts for DPTPP Coal and Materials Transport System,Coal Handling System,Conveyors,DPC-MAINT-RS-2025-IC-M022,"April 4, 2025",Served,BRF-PAL-2025-01485,For Final Bidding,"July 10,2025",APPROVED,"July 17,2025",PR009311,"August 15, 2025",FOR APPROVAL,,,,,,,,,,,
68,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of Critical Replenishment Spare Parts for DPTPP Narra Steam Drum Ceramic Electrode,Main Steam System,Steam Drum,DPC-MAINT-RS-2025-IC-M023,"April 8, 2025",Pending,BRF-PAL-2025-01301,"₱81,154.60","April 8, 2025",,,,,,,,,,,,,PENDING,"Wednesday, April 30, 2025 3:14 PM","June 24, 2025",
69,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Spare parts for DPTPP ESP Instruments,Electro Static Precipitator System,ESP,DPC-MAINT-RS-2025-IC-M024,"April 9, 2025",Served,BRF-PAL-2025-01399,"₱162,874.27","May 29, 2025",APPROVED,"June 19, 2025",PR009135,"June 19, 2025",APPROVED,"June 24, 2025","June 24, 2025",,,,,,,,,
70,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Critical spare parts for DPTPP Chemical water system transmiters,Water Treatment System,R.O.,DPC-MAINT-RS-2025-IC-M025,"April 9, 2025",Served,BRF-PAL-2025-01501,For Final Bidding,"July 17,2025",APPROVED,"August 5, 2025",PR009312,"August 15, 2025",FOR APPROVAL,,,,,,,,,,,
71,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Spare parts for DPTPP DP transmitters,Integrated System,Pressure measuring Instruments,DPC-MAINT-RS-2025-IC-M026,"April 10, 2025",,BRF-PAL-2025-01313,"₱566,700.00","April 15, 2025",APPROVED,"May 14, 2025",PR009045,"May 14, 2025",APPROVED,"May 19, 2025","May 19, 2025","June 3, 2025","FPO-000207
PO-008377",,,"UNI-ENERGY
SOUTHERN CONTROLS",,,,
72,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of Critical spare parts for DPTPP Bimetallic thermometers,Integrated System,Temperature measuring Instruments,DPC-MAINT-RS-2025-IC-M027,"April 11, 2025",Pending,BRF-PAL-2025-01314,"₱ 87,450.00","April 15, 2025",,,,,,,,,,,,,PENDING,"Wednesday, April 30, 2025 3:13 PM","June 24, 2025",
73,OTHERS,I&C,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Materials for DPTPP Cooling pump pipe modification,Seawater Intake System,Cooling Pump,DPC-MAINT-RS-2025-IC-M028,"April 12, 2025",Served,BRF-PAL-2025-01438,For Final Bidding,"June 18,2025",APPROVED,,PR009234,"July 20, 2025",FOR APPROVAL,,,,,,,,,,,
74,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Spare parts for DPTPP Feedwater pump instruments,Feedwater System,Feedwater pump,DPC-MAINT-RS-2025-IC-M029,"April 24, 2025",,BRF-PAL-2025-01533,For Final Bidding,"July 31, 2025",APPROVED,"August 6, 2025",PR009296,"August 7, 2025",APPROVED,"August 14, 2025","August 14, 2025",,,,,,,,,
75,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of Critical Spare and Replacement parts for Coal feeder Outlet Dumper proximity switches,Coal Handling System,Coal Feeders,DPC-MAINT-RS-2025-IC-M030,"April 24, 2025",Served,BRF-PAL-2025-01332,"₱8,944.00","April 24, 2025",APPROVED,,,,,,,,,,,,PENDING,"Wednesday, April 30, 2025 3:13 PM","May 15,2025",
76,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Replacement and spare parts for DPTPP Fire pump engine angle seat valve,Fire Fighting System,Fire pump engine,DPC-MAINT-RS-2025-IC-M031,"April 25, 2025",,BRF-PAL-2025-01337,"₱110,000.00","April 29, 2025",APPROVED,"May 19, 2025",PR009062,"May 19, 2025",APPROVED,"May 23, 2025","May 23, 2025","July 8, 2025",FPO-000218,"July 24, 2025",APPROVED,INVENCONTROL,,,,
77,ANNUAL PMS,I&C,DPTPP - Narra 1,FOR P.O,Supply of Critical PMS parts for DPTPP Turbine Hydraulic Servo,Turbine System,Turbine,DPC-MAINT-RS-2025-IC-M032,"April 30, 2025",Served,BRF-PAL-2025-01374,"₱2,850,400.00","May 22, 2025",APPROVED,"May 22, 2025",PR009071,"May 22, 2025",APPROVED,"July 1, 2025","July 1, 2025","7/4/2025 (Aug.12, 2025)",,,,,,,,
78,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR P.O,Supply of Critical Spare parts for DPTPP Turbine Control System,Turbine System,Turbine,DPC-MAINT-RS-2025-IC-M033,"May 1, 2025",Served,BRF-PAL-2025-01406,For final Bidding,"June 3, 2025",APPROVED,"June 27, 2025",PR009169,"June 27, 2025",APPROVED,"July 1, 2025","July 1, 2025","7/4/2025 (Aug.12, 2025)",,,,,,,,
79,REGULAR PMS CONSUMABLES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Spares/PMS Parts for DPTPP Oxygen Analyzer probes,Flue gas System,Furnace,DPC-MAINT-RS-2025-IC-M034,"May 21, 2025",Served,BRF-PAL-2025-01376,"₱219,000.00","May 22, 2025",APPROVED,"May 22, 2025",PR009072,"May 22, 2025",APPROVED,"July 4, 2025","July 4, 2025","Aug.8, 2025",PO-008465,"August 20, 2025",,,,,,
80,OTHERS,I&C,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of Portable flowmeter for Palawan Instrumentation and Control Team,Miscellaneous,Special tools,DPC-MAINT-RS-2025-IC-M035,"May 29, 2025",,BRF-PAL-2025-01405,"₱165,000.00","June 3, 2025",APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,,,,,,,,,,"Tuesday, June 24, 2025 8:40 AM","July 28, 2025",
81,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Replacement and Spare parts for DPTPP Coal feeder RTDs,Coal Handling System,Coal Feeder,DPC-MAINT-RS-2025-IC-M036,"June 9, 2025",,BRF-PAL-2025-01421,For final Bidding,"June 9, 2025",APPROVED,"June 10, 2025",PR009113,"June 10, 2025",APPROVED,"June 13, 2025","June 13, 2025","June 20, 2025",FPO-000215/PO-008385,"July 7, 2025",APPROVED,RVCGBI AND RVC GLOBAL MANAGEMENT/SMI,,,,
82,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Critical replacement parts for DPTPP Pressure transmitters LCD Display,Integrated System,,DPC-MAINT-RS-2025-IC-M037,"June 16, 2025",,BRF-PAL-2025-01431,For final Bidding,"June 17, 2025",APPROVED,"July 11,2025",PR009195,"July 12, 2025",FOR APPROVAL,,,,,,,,,,,
83,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Replacement parts for DPTPP Firewater pipe pressure transmitter,Fire Fighting System,FDASS,DPC-MAINT-RS-2025-IC-M038,"June 30, 2025",,BRF-PAL-2025-01457,For final Bidding,"June 30, 2025",APPROVED,,PR009235,"July 20, 2025",FOR APPROVAL,,,,,,,,,,,
84,OTHERS,I&C,DPTPP - Narra 1,FOR P.R,Supply of Labor and Materials for the inspection and troubleshooting of DPTPP CCTV and Telephone cables,Miscellaneous,CCTV,DPC-MAINT-RS-2025-IC-M039,"July 4, 2025",,BRF-PAL-2025-01483,For final Bidding,"July 9,2025",APPROVED,"August 4, 2025",,,,,,,,,,,,,,
85,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Pt100 sensors for DPTPP Major pumps and motors,Integrated System,Major Pumps And Motors,DPC-MAINT-RS-2025-IC-M040,"July 4, 2025",,BRF-PAL-2025-01476,For final Bidding,"July 7,2025",APPROVED,,PR009236,"July 20, 2025",FOR APPROVAL,,,,,,,,,,,
86,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Safety Spare Parts for DPTPP Micro Switches,Coal Handling System,Conveyors,DPC-MAINT-RS-2025-IC-M041,,,BRF-PAL-2025-01486,For final Bidding,"July 10,2025",APPROVED,,PR009237,"July 21, 2025",FOR APPROVAL,,,,,,,,,,,
87,OTHERS,I&C,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,"Supply of Labor, Materials, and Technical Expertise for the Inspection and troubleshooting of Boiler Elevator",Miscellaneous,Elevator,DPC-MAINT-RS-2025-IC-ML001,,,BRF-PAL-2025-01409,For final Bidding,"June 4, 2025",APPROVED,, PR009160,"June 26, 2025",APPROVED,"Jul 3, 2025","Jul 3, 2025",,,,,,,,,
88,ANNUAL PMS,I&C,DPTPP - Narra 1,DELIVERED,"Supply of Labor, Materials, Tools, Equipment, Manpower (Skilled), and Technical Expertise for the Calibration, Servicing, and Testing of Various Instruments / Devices during DPTPP 1st PMS 2024",Miscellaneous,Integrated equipments,DPC-MAINT-RS-2024-IC-M001,,,,"₱1,566,140.80",,,,PR008413,"June 18, 2024",APPROVED,,,"August 30, 2024",,,APPROVED,JNJ INSTRUMENTATION SALES AND SERVICES INC,DELIVERED,,,
89,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR P.O,Supply of Replenishment Critical Spare Parts for DPTPP Furnace Pressure Transmitter,Miscellaneous,Integrated equipments,DPC-MAINT-RS-2025-IC-M042,"July 10, 2025",,BRF-PAL-2025-01491,For final Bidding,"July 11,2025",APPROVED,,PR009284,"August 5, 2025",APPROVED,"August 7, 2025","August 8, 2025","August 18, 2025",,,,,,,,
90,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Replacement Spare Parts for DPTPP Narra R.O. pH-ORP Probes,Water Treatment System,R.O.,DPC-MAINT-RS-2025-IC-M043,"July 14, 2025",,BRF-PAL-2025-01493,For final Bidding,"July 14,2025",APPROVED,"July 27,2025",PR009307,"August 13, 2025",APPROVED,"August 15, 2025","August 15, 2025",,,,,,,,,
91,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Safety Spare Parts For DPTPP Narra Closed Cooling Instruments,Closed cooling water system,Integrated equipments,DPC-MAINT-RS-2025-IC-M044,"July 24, 2025",,BRF-PAL-2025-01508,For final Bidding,"July 21, 2025",APPROVED,"August 7, 2025",PR009304,"August 12, 2025",APPROVED,"August 15, 2025","August 15, 2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Replacement parts for DPTPP Ash bin Pressure regulators,Ash Handling system,Ash bin,DPC-MAINT-RS-2025-IC-M045,"July 30, 2025",,BRF-PAL-2025-01534,For final Bidding,"July 31, 2025",APPROVED,"August 6, 2025",PR009297,"August 7, 2025",APPROVED,"August 14, 2025","August 14, 2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Buffer Solutions for DPTPP SWASS and Water treatment,Dosing and Sampling System,SWASS,DPC-MAINT-RS-2025-IC-M046,"August 6, 2025",,BRF-PAL-2025-01544,For final Bidding,"August 6, 2025",APPROVED,"August 11, 2025",PR009313,"August 15, 2025",APPROVED,"August 18, 2025","August 18, 2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,AWAITING BUDGET,Supply of Replenishment Parts for DPTPP Pneumatic Components,Compressed Air System,Integrated equipments,DPC-MAINT-RS-2025-IC-M047,"August 12, 2025",,BRF-PAL-2025-01544,"₱19,200.00","August 12, 2025",APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,,,,,,,,,,"August 18, 2025",,
,OTHERS,I&C,DPTPP - Narra 1,FOR BRF APPROVAL,Supply of Critical and Non-Critical Spare Parts for DPTPP Air Dryers and Pneumatic Components,Compressed Air System,Integrated equipments,DPC-MAINT-RS-2025-IC-M048,"August 14, 2025",,BRF-PAL-2025-01556,For final Bidding,"August 14, 2025",CANCELLED BUT FOR PR,,,,,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR BRF APPROVAL,Supply of Critical Spare and Replenishment Parts for DPTPP Biomass Air Cannon Pulse Valve,Biomass Handling System,Air cannon,DPC-MAINT-RS-2025-IC-M049,"August 19, 2025",,BRF-PAL-2025-01569,For final Bidding,"August 19, 2025",FOR APPROVAL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR FOLLOW UP,Supply of Insocoat Bearing Replacement and Spares for CEP & CWP Motors at DPTPP Narra,Condensate and CWP System,Insocoat Bearings,DPC-MAINT-RS-2025-EM050,"February 26, 2025",Pending,,,,,,,,,,,,,,,,,,,
1,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR FOLLOW UP,"Supply of critical spare parts for DPTPP turbine system control panel (GCP, TPP, SCP)",Turbine System,"GCP,TPP,SCP",DPC-MAINT-RS-2023-EE-M001,,Served,,,,APPROVED,,PR008120,"December 7, 2023",APPROVED,,,"11/27/2024
Revised T.E Sent December 04, 2024","FPO-000167 RVCGBI
FPO-008703 PELICAN DELIVERED",,PENDING,,PENDING,,,
2,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Critical Spare Parts for DPTPP 69KV System,69kV System,69kV,DPC-MAINT-RS-2023-EE-M002,,Served,,,,APPROVED,,PR008126,"December 12, 2023",APPROVED,,,"July 15, 2024",FPO-000137,"July 26, 2024",APPROVED,RVCGBI and RVC Global Management,DELIVERED,"September 19, 2024",,
3,REGULAR PMS CONSUMABLES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Lubricating grease for motor bearings of DPTPP,Miscelleneous,All Electrical Motor,DPC-MAINT-RS-2023-EE-M003,,Served,BRF-PAL-2024-00683,,"April 5, 2024",APPROVED,"
Aprroved for payment 
April 16, 2024",,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,-,-,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,"April 19, 2024","May 14, 2024",
4,ANNUAL PMS,Electrical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,"Supply of Silicone Coating for HV Insulators Intended for DPTPP Narra 20MVA, 69kV Substation and Transmission Lines",69kV System,HV Insulators,DPC-MAINT- RS-2024-EE-M006,"April 9, 2024",Served,BRF-PAL-2024-00792,,"July 1, 2024",APPROVED,"BRF Approved
(July 19, 2024)",PR008491,"July 23, 2024",APPROVED,,,"August 7, 2024",FPO-000146,"October 8, 2024",APPROVED,INVENCONTROL PTE. LTD. ,PENDING,11/11/2024,-,
5,ANNUAL PMS,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Critical Spare Parts for DPTPP NARRA ESP F60G-4 Electric Heater,ESP System,ESP,DPC-MAINT-RS-2024-EE-M008,"May 16, 2024",Served,BRF-PAL-2024-00802,,"July 8, 2024",APPROVED,"BRF Approved
July 23, 2024",PR008466,"July 8, 2024",APPROVED,,,"August 7, 2024",FPO-000141,"August 8, 2024",APPROVED,RVCGBI and RVC Global Management,DELIVERED,"50% DP 8/19/2024
50% Onsite delivery 9/18/2024",,
6,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Critical Spare Bearings for Boiler Fans & BFWP Motors at DPTPP Narra,Combustion System,Boiler Feed Water Pump Motor,DPC-MAINT- RS-2024-EM011,"April 25, 2024",Served,BRF-PAL-2024-00811,,"July 8, 2024",APPROVED,"
Aprroved for payment 
July 23, 2024",,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,"July 25, 2024","August 16, 2024",
7,REGULAR PMS CONSUMABLES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Lubricating Grease for Condensate Pump Motor Bearings of DPTPP (2nd Revision),Miscelleneous,Condensate Pump Motor,DPC-MAINT-RS-2024-EE-M016,"May 2, 2024",Served,BRF-PAL-2024-00812,,"July 9, 2024",APPROVED,"
Aprroved for payment 
July 17, 2024",,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,"July 18, 2024","August 16, 2024",
8,OTHERS,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Boomtruck Manlift Bucket for the In-house Electrical Maintenance Activities during Annual PMS  at DPTPP-Narra,Heavy Equipment,Boomtruck,DPC-MAINT-RS-2024-EM024,"May 24, 2024",Served,BRF-PAL-2024-00838,,"July 23, 2024",APPROVED,"BRF Approved
August 23, 2024",PR008569,"September 3, 2024",APPROVED,,,,PO-007911 ,,APPROVED,,DELIVERED,,,
9,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Materials for the Boiler Feedwater Pump motor Reconditioning at DPTPP,Miscelleneous,Boiler Feed Water Pump Motor,DPPC-MMAINT- RS-M51,-,Served,BRF-PAL-2024-00852,,"August 2, 2024",APPROVED,"
Aprroved for payment 
August 19, 2024",,"August 2,2024",APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,"August 19,2024",,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,"August 20, 2024",,
10,OTHERS,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Labor for the Local Rewinding of Biomass Shredder Motor for DPTPP,Labor,Biomass Shredder Motor,DPPC-MMAINT- RS-2024-M005,-,Served,BRF-PAL-2024-00868,,"August 7, 2024",APPROVED,"BRF Approved August 21, 2024",,,,,,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,WILFREDO J. RAMIREZ SR. ELECTRICAL REPAIR SHOP,DELIVERED,"August 21, 2024",,
11,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Critical Spare of Coal Crusher Vibration Electric Motor at DPTPP Narra,Coal Handling System,Vibration Electric Motor,DPC-MAINT-RS-2024-EM23,,Served,BRF-PAL-2024-00894,,"August 21, 2024",APPROVED,"BRF Approved September 3, 2024",PR008574,"September 5, 2024",APPROVED,"September 9,2024",,"September 18,2024",FPO-000142 ,"September 10,2024",APPROVED,TAIHE ELECTRIC,DELIVERED,,,
12,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Urgent Replacement AC Inverter Drive for Belt Conveyor motor 1C at DPTPP Narra,Coal Handling System,AC Inverter Drive,DPC-MAINT-RS-2024-EM020,"August 15, 2024",Served,BRF-PAL-2024-00917,,"September 2, 2024",APPROVED,"BRF Approved September 11, 2024",PR008585,"September 12, 2024",APPROVED,,,,FPO-000152,"Nov. 05, 2024",APPROVED,RVCGBI and RVC Global Management,DELIVERED,"11/14/2024 50% DP (42,938.00)",,
13,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Urgent Replacement Thyristor for Soft Start of Coal Crusher A Motor at DPTPP,Coal Handling System,Thyristor,DPC-MAINT-RS-2024-EI-M001,"August 27, 2024",Served,BRF-PAL-2024-00928,,"September 5, 2024",APPROVED,"
Aprroved for payment 
September 11, 2024",,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,,"September 11,2024",APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,,,
14,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Critical Spare Parts for Coal Crusher Motor Soft Starter at DPTPP Narra,Coal Handling System,"AC Semiconductor Motor Starter
&
Thyristor",DPC-MAINT-RS-2024-EM028,-,Served,RF-PAL-2024-00931 ,,"September 6, 2024",APPROVED,"BRF Approved September 28, 2024",PR008599,"September 23,2024",APPROVED,,,,PR008599,"September 23,2024",APPROVED,,DELIVERED,,,
15,OTHERS,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Materials for Cleaning and Repainting of Electric Motors at DPTPP Narra,Miscelleneous,All Electric Motors,DPC-MAINT-RS-2024-EM007,-,Served,BRF-PAL-2024-00979,,"October 11, 2024",APPROVED,"
Aprroved for payment 
October 16, 2024",-,-,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,-,-,"October 16,2024",APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,,,
16,REGULAR PMS CONSUMABLES,Electrical,DPTPP - Narra 1,DELIVERED,Local Purchase of Battery Replacement and Critical Spares for Heavy Equipment at DPTPP Narra,Heavy Equipment,Batteries,DPC-MAINT-RS-2024-EM035,"October 14, 2024",Served,BRF-PAL-2024-00990,,"October 15, 2024",APPROVED,"
Aprroved for payment 
October 24, 2024",,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,,"October 24,2024",APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,,,
17,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Critical Spares for Coal Handling and Slag Removal System Vibrating Motors at DPTPP Narra (1st Revision).,Coal Handling System,Vibrating Motors,DPC-MAINT-RS-2024-EM031,9/28/2024,Served,BRF-PAL-2024-01007,,"October 23, 2024",APPROVED,"BRF Approved November 05, 2024",PR008669,"November 11, 2024",APPROVED,,,11/28/2024,FPO-000159,,APPROVED,TAIHE ELECTRIC,DELIVERED,,,
18,OTHERS,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Electrical Testing Equipment for Daily and Condition Based Repair Activities at DPC Palawan,Miscelleneous,"Fluke 381 Clamp Meter 
& 
Extra Heavy-Duty Circlip Plier Set",DPC-MAINT-RS-2024-EM019,8/2/2024,Served,BRF-PAL-2024-01023,,"October 29, 2024",APPROVED,"
Aprroved for payment 
November 08, 2024",,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,,"November 8,2024",
19,OTHERS,Electrical,DPTPP - Narra 1,DELIVERED,Supply of One (1) Unit Battery Analyzer for Weekly Routinary Inspection Activities at DPC Palawan,Miscelleneous,Battery Analyzer,DPC-MAINT-RS-2024-EM019,8/2/2024,Served,BRF-PAL-2024-01038,,"November 6, 2024",APPROVED,"BRF Approved November 25, 2024",PR008703,"November 25, 2024",APPROVED,"November 27,2024","November 28,2024","December 17,2024",PO-008027,,APPROVED,RS COMPONENTS CORPORATION,DELIVERED,,,
